dataset_version,scenario_id,cat_key,label_0_100,C.VITA.1,v1,C.VITA.2,v2,C.VITA.3,v3,C.VITA.4,v4,C.VITA.5,v5
c-1.0,S0042-vita-0000,vita,80,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,1,1.0
c-1.0,S0042-vita-0001,vita,98,3,1.0,3,1.0,3,1.0,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0002,vita,20,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,3,1.0,0,0.0
c-1.0,S0042-vita-0003,vita,81,2,0.6666666666666666,3,1.0,3,1.0,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0004,vita,50,2,0.6666666666666666,3,1.0,1,0.3333333333333333,3,1.0,0,0.0
c-1.0,S0042-vita-0005,vita,61,3,1.0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0006,vita,72,1,0.3333333333333333,3,1.0,1,0.3333333333333333,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0007,vita,12,1,0.3333333333333333,1,0.3333333333333333,0,0.0,3,1.0,0,0.0
c-1.0,S0042-vita-0008,vita,86,2,0.6666666666666666,3,1.0,1,0.3333333333333333,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0009,vita,80,2,0.6666666666666666,3,1.0,1,0.3333333333333333,0,0.0,0,0.0
c-1.0,S0042-vita-0010,vita,86,3,1.0,2,0.6666666666666666,3,1.0,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0011,vita,83,1,0.3333333333333333,3,1.0,2,0.6666666666666666,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0012,vita,28,1,0.3333333333333333,2,0.6666666666666666,1,0.3333333333333333,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0013,vita,54,3,1.0,1,0.3333333333333333,2,0.6666666666666666,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0014,vita,27,0,0.0,1,0.3333333333333333,2,0.6666666666666666,2,0.6666666666666666,1,1.0
c-1.0,S0042-vita-0015,vita,87,3,1.0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0016,vita,23,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0017,vita,55,3,1.0,0,0.0,2,0.6666666666666666,2,0.6666666666666666,1,1.0
c-1.0,S0042-vita-0018,vita,86,2,0.6666666666666666,3,1.0,1,0.3333333333333333,2,0.6666666666666666,1,1.0
c-1.0,S0042-vita-0019,vita,32,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0020,vita,57,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,3,1.0,1,1.0
c-1.0,S0042-vita-0021,vita,26,2,0.6666666666666666,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0022,vita,29,1,0.3333333333333333,2,0.6666666666666666,0,0.0,3,1.0,0,0.0
c-1.0,S0042-vita-0023,vita,93,3,1.0,3,1.0,3,1.0,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0024,vita,66,1,0.3333333333333333,3,1.0,2,0.6666666666666666,0,0.0,0,0.0
c-1.0,S0042-vita-0025,vita,50,2,0.6666666666666666,2,0.6666666666666666,1,0.3333333333333333,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0026,vita,56,2,0.6666666666666666,1,0.3333333333333333,2,0.6666666666666666,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0027,vita,64,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,1,1.0
c-1.0,S0042-vita-0028,vita,66,3,1.0,2,0.6666666666666666,3,1.0,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0029,vita,62,2,0.6666666666666666,2,0.6666666666666666,1,0.3333333333333333,3,1.0,1,1.0
c-1.0,S0042-vita-0030,vita,86,3,1.0,2,0.6666666666666666,0,0.0,0,0.0,1,1.0
c-1.0,S0042-vita-0031,vita,5,1,0.3333333333333333,0,0.0,1,0.3333333333333333,3,1.0,0,0.0
c-1.0,S0042-vita-0032,vita,22,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0033,vita,92,3,1.0,2,0.6666666666666666,2,0.6666666666666666,0,0.0,1,1.0
c-1.0,S0042-vita-0034,vita,87,2,0.6666666666666666,2,0.6666666666666666,3,1.0,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0035,vita,39,0,0.0,2,0.6666666666666666,0,0.0,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0036,vita,40,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0037,vita,56,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,1,1.0
c-1.0,S0042-vita-0038,vita,29,1,0.3333333333333333,2,0.6666666666666666,1,0.3333333333333333,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0039,vita,37,2,0.6666666666666666,2,0.6666666666666666,0,0.0,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0040,vita,35,1,0.3333333333333333,1,0.3333333333333333,0,0.0,3,1.0,1,1.0
c-1.0,S0042-vita-0041,vita,50,3,1.0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0042,vita,38,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0043,vita,88,3,1.0,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,1,1.0
c-1.0,S0042-vita-0044,vita,78,2,0.6666666666666666,2,0.6666666666666666,3,1.0,0,0.0,0,0.0
c-1.0,S0042-vita-0045,vita,48,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,3,1.0,1,1.0
c-1.0,S0042-vita-0046,vita,48,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,2,0.6666666666666666,1,1.0
c-1.0,S0042-vita-0047,vita,48,1,0.3333333333333333,2,0.6666666666666666,0,0.0,2,0.6666666666666666,1,1.0
c-1.0,S0042-vita-0048,vita,33,1,0.3333333333333333,2,0.6666666666666666,2,0.6666666666666666,3,1.0,0,0.0
c-1.0,S0042-vita-0049,vita,53,2,0.6666666666666666,1,0.3333333333333333,0,0.0,2,0.6666666666666666,1,1.0
c-1.0,S0042-vita-0050,vita,65,0,0.0,2,0.6666666666666666,3,1.0,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0051,vita,0,0,0.0,0,0.0,0,0.0,3,1.0,0,0.0
c-1.0,S0042-vita-0052,vita,20,1,0.3333333333333333,2,0.6666666666666666,0,0.0,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0053,vita,3,1,0.3333333333333333,0,0.0,0,0.0,3,1.0,0,0.0
c-1.0,S0042-vita-0054,vita,62,3,1.0,2,0.6666666666666666,2,0.6666666666666666,3,1.0,0,0.0
c-1.0,S0042-vita-0055,vita,30,1,0.3333333333333333,2,0.6666666666666666,2,0.6666666666666666,3,1.0,0,0.0
c-1.0,S0042-vita-0056,vita,87,1,0.3333333333333333,3,1.0,2,0.6666666666666666,0,0.0,1,1.0
c-1.0,S0042-vita-0057,vita,62,2,0.6666666666666666,1,0.3333333333333333,3,1.0,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0058,vita,20,0,0.0,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0059,vita,92,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0060,vita,7,0,0.0,1,0.3333333333333333,0,0.0,3,1.0,0,0.0
c-1.0,S0042-vita-0061,vita,30,1,0.3333333333333333,1,0.3333333333333333,3,1.0,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0062,vita,72,0,0.0,3,1.0,3,1.0,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0063,vita,34,2,0.6666666666666666,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0064,vita,43,1,0.3333333333333333,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0065,vita,40,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0066,vita,76,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0067,vita,53,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0
c-1.0,S0042-vita-0068,vita,94,2,0.6666666666666666,3,1.0,1,0.3333333333333333,0,0.0,1,1.0
c-1.0,S0042-vita-0069,vita,82,3,1.0,2,0.6666666666666666,2,0.6666666666666666,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0070,vita,46,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0071,vita,63,2,0.6666666666666666,2,0.6666666666666666,0,0.0,2,0.6666666666666666,1,1.0
c-1.0,S0042-vita-0072,vita,15,2,0.6666666666666666,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0073,vita,32,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0074,vita,19,2,0.6666666666666666,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0075,vita,65,2,0.6666666666666666,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0076,vita,45,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,3,1.0,1,1.0
c-1.0,S0042-vita-0077,vita,98,3,1.0,3,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0078,vita,33,3,1.0,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,0.0
c-1.0,S0042-vita-0079,vita,77,2,0.6666666666666666,3,1.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0
c-1.0,S0042-vita-0080,vita,87,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0081,vita,98,3,1.0,2,0.6666666666666666,3,1.0,0,0.0,1,1.0
c-1.0,S0042-vita-0082,vita,47,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0083,vita,32,1,0.3333333333333333,2,0.6666666666666666,1,0.3333333333333333,3,1.0,0,0.0
c-1.0,S0042-vita-0084,vita,93,2,0.6666666666666666,2,0.6666666666666666,3,1.0,1,0.3333333333333333,1,1.0
c-1.0,S0042-vita-0085,vita,86,2,0.6666666666666666,3,1.0,0,0.0,2,0.6666666666666666,1,1.0
